gen,best,mean,std,best_of_run
1,403.221000000013,110.44999936667217,198.9165291932326,403.221000000013
2,403.221000000013,273.938555066675,131.35561815637985,403.221000000013
3,403.221000000013,348.02663866667683,85.53214083794978,403.221000000013
4,403.221000000013,402.62154283334604,0.6860820138457451,403.221000000013
5,403.2210000000131,402.808342833346,0.630923677784655,403.2210000000131
6,452.9096550000121,404.74483133334604,8.95279153945336,452.9096550000121
7,452.9096550000121,405.2977288333461,9.126283330390873,452.9096550000121
8,452.9096550000121,405.2977288333461,9.126283330390846,452.9096550000121
9,497.8200000000129,410.2038358333461,20.7198178533488,497.8200000000129
10,498.01707000001295,421.1710595000128,33.44532610542431,498.01707000001295
11,870.701125,437.89976500001234,86.96072967232219,870.701125
12,870.701125,441.0530650000124,87.36028349086152,870.701125
13,894.4799999999998,470.10826500001184,117.64176383150392,894.4799999999998
14,894.4799999999998,482.47466500001184,114.81486130129397,894.4799999999998
15,894.4799999999998,505.9518250000119,105.20172721469466,894.4799999999998
16,894.4799999999998,533.7926320000115,118.13037583807902,894.4799999999998
17,894.4799999999998,549.9170430000111,131.69473674481054,894.4799999999998
18,2225.0199999999127,608.7486570000078,327.47091055941087,2225.0199999999127
19,2225.0199999999127,608.935457000008,327.40797352678277,2225.0199999999127
20,2225.0199999999127,633.4150046666722,344.8480119671025,2225.0199999999127
21,2225.0199999999127,633.6423083333386,344.7590219544186,2225.0199999999127
22,2881.491749999992,771.0047976666681,593.9368957059529,2881.491749999992
23,2885.6273499999947,885.9130218333319,692.5029564746583,2885.6273499999947
24,2885.6273499999947,911.531460166664,684.7891335845824,2885.6273499999947
25,2885.6273499999947,911.531460166664,684.7891335845824,2885.6273499999947
26,2885.6273499999947,1010.681583499993,690.1435487003365,2885.6273499999947
27,2885.6273499999947,1094.6701101666556,702.5238186697986,2885.6273499999947
28,2885.6273499999947,1173.6761584999883,761.884681541034,2885.6273499999947
29,2885.6273499999947,1289.2994251666487,782.0907884001465,2885.6273499999947
30,2895.852699999993,1572.936695999969,739.4691990990405,2895.852699999993
