gen,best,mean,std,best_of_run
1,403.221000000013,14.730236412504473,207.51780456458346,403.221000000013
2,403.221000000013,129.26842543750527,173.5430736516074,403.221000000013
3,403.221000000013,206.11574971250624,122.17401595022967,403.221000000013
4,499.2210000000122,258.0909805000071,104.96276472818225,499.2210000000122
5,499.2210000000122,296.7853671875083,100.53332621363388,499.2210000000122
6,499.2210000000122,320.59026431250913,97.54099447244494,499.2210000000122
7,499.2210000000127,345.02391618751005,89.9387579809064,499.2210000000127
8,499.2210000000127,365.6986955000107,76.02801416366513,499.2210000000127
9,499.2210000000127,389.5862583750116,46.482349157543304,499.2210000000127
10,499.2210000000127,403.3458820625125,17.38392080164157,499.2210000000127
11,499.2210000000127,405.0131652500125,15.100980608120027,499.2210000000127
12,499.2210000000127,406.35838875001264,18.34111109527004,499.2210000000127
13,499.2210000000127,406.3792390000126,18.336632584011937,499.2210000000127
14,499.2210000000127,406.4142640000126,18.32922701871176,499.2210000000127
15,499.2210000000127,406.4943265000126,18.31187201350717,499.2210000000127
16,499.2210000000127,407.8444390000126,20.96775666864359,499.2210000000127
17,499.2210000000127,407.93273218751256,20.945116566592215,499.2210000000127
18,499.2210000000127,409.20348750001256,23.17049801633192,499.2210000000127
19,499.2210000000127,411.3871451875126,26.430717044442687,499.2210000000127
20,1040.9200000000396,421.737120187513,75.71007506556965,1040.9200000000396
21,1040.9200000000396,424.137120187513,76.6014235477004,1040.9200000000396
22,1040.9200000000396,426.5020951875131,77.3755584802313,1040.9200000000396
23,1040.9200000000396,430.067070187513,78.40407660810725,1040.9200000000396
24,1040.9200000000396,434.8495576875131,79.52991378659418,1040.9200000000396
25,1040.9200000000396,437.026957937513,79.83470612236324,1040.9200000000396
26,1227.819999999938,452.6756366875121,118.54383161627672,1227.819999999938
27,1227.819999999938,458.64061168751215,118.30634815846743,1227.819999999938
28,1227.819999999938,468.17056168751213,117.29249059866295,1227.819999999938
29,1227.819999999938,486.08219318751196,123.42938727169023,1227.819999999938
30,1227.819999999938,500.5956556875117,128.23027552609918,1227.819999999938
