gen,best,mean,std,best_of_run
1,403.221000000013,132.4793322833393,204.87247443519513,403.221000000013
2,403.221000000013,314.7420506666765,120.49388678552802,403.221000000013
3,403.221000000013,402.74736633334595,0.6509254939569571,403.221000000013
4,403.221000000013,403.2210000000128,2.3505973704385877e-13,403.221000000013
5,403.2210000000131,403.2210000000129,8.237393982534195e-14,403.2210000000131
6,403.2210000000131,403.2210000000129,8.987733679556355e-14,403.2210000000131
7,403.2210000000131,403.2210000000129,1.0735232440474112e-13,403.2210000000131
8,403.2210000000131,403.2210000000129,1.1878325205738807e-13,403.2210000000131
9,403.2210000000131,403.2210000000129,1.2710574864626038e-13,403.2210000000131
10,403.2210000000131,403.2210000000129,1.2920681245026207e-13,403.2210000000131
11,403.2210000000131,403.2210000000129,1.3923737144427707e-13,403.2210000000131
12,403.2210000000131,403.2210000000129,1.4676907639293468e-13,403.2210000000131
13,403.2210000000131,403.2210000000129,1.5739229985301175e-13,403.2210000000131
14,403.2210000000131,403.2210000000129,1.6077746776921858e-13,403.2210000000131
15,403.2210000000131,403.2210000000129,1.7053025658242404e-13,403.2210000000131
16,403.2210000000131,403.2210000000129,1.7053025658242404e-13,403.2210000000131
17,403.2210000000131,403.2210000000129,1.7053025658242404e-13,403.2210000000131
18,403.2210000000131,403.2210000000129,1.7053025658242404e-13,403.2210000000131
19,403.2210000000131,403.2210000000129,1.7053025658242404e-13,403.2210000000131
20,403.2210000000131,403.2210000000129,1.7053025658242404e-13,403.2210000000131
21,403.2210000000131,403.2210000000129,1.7053025658242404e-13,403.2210000000131
22,403.2210000000131,403.2210000000129,1.7053025658242404e-13,403.2210000000131
23,403.2210000000131,403.2210000000129,1.7053025658242404e-13,403.2210000000131
24,403.2210000000131,403.2210000000129,1.7053025658242404e-13,403.2210000000131
25,403.2210000000131,403.2210000000129,1.7053025658242404e-13,403.2210000000131
26,403.2210000000131,403.2210000000129,1.7053025658242404e-13,403.2210000000131
27,403.2210000000131,403.2210000000129,1.7053025658242404e-13,403.2210000000131
28,403.2210000000131,403.2210000000129,1.7053025658242404e-13,403.2210000000131
29,403.2210000000131,403.2210000000129,1.7053025658242404e-13,403.2210000000131
30,403.2210000000131,403.2210000000129,1.7053025658242404e-13,403.2210000000131
