gen,best,mean,std,best_of_run
1,403.221000000013,234.6847910666744,162.6779225325811,403.221000000013
2,403.221000000013,361.7495363333444,77.15512854492407,403.221000000013
3,403.221000000013,403.2210000000128,2.6438810486307415e-13,403.221000000013
4,868.3439999999993,418.7251000000124,83.4921336862916,868.3439999999993
5,868.3439999999993,419.6336100000124,83.46676853628928,868.3439999999993
6,868.3439999999993,419.6336100000124,83.46676853628928,868.3439999999993
7,868.3439999999993,435.13504333334527,115.87235268455396,868.3439999999993
8,868.3439999999993,435.22712066667856,115.84805076247821,868.3439999999993
9,868.3439999999993,441.5337206666785,116.50706465323441,868.3439999999993
10,870.6514250000001,477.35077316667764,156.1066107698817,870.6514250000001
11,870.6514250000001,537.0630375000092,194.55133680046214,870.6514250000001
12,1879.0772500000294,768.4909973333375,290.0110572259729,1879.0772500000294
13,1895.7346000000268,991.7280783333355,303.1643762930436,1895.7346000000268
14,2280.819999999935,1112.3677845000077,405.9762791938623,2280.819999999935
15,2645.5993999999755,1400.1287308333349,558.9707577939597,2645.5993999999755
16,2645.5993999999755,1730.1999719999965,500.94986519857986,2645.5993999999755
17,3807.248524999978,2231.9637574999597,363.9908723968842,3807.248524999978
18,3807.248524999978,2350.2027858332754,348.03145210499616,3807.248524999978
19,4356.039174999991,2440.707053333272,488.3464351026408,4356.039174999991
20,4356.039174999991,2513.795389999944,489.2107186234602,4356.039174999991
21,4356.039174999991,2527.480613333279,486.41651114066224,4356.039174999991
22,6060.04074999998,2735.5851049999533,824.634554373914,6060.04074999998
23,6060.04074999998,2799.841139999961,807.4109211852427,6060.04074999998
24,6060.04074999998,3019.8840276666356,922.7407290132702,6060.04074999998
25,6060.04074999998,3040.818215999971,912.1813326851866,6060.04074999998
26,6060.04074999998,3127.828491333309,919.4056549348046,6060.04074999998
27,6060.04074999998,3377.2875813333176,987.4759746097707,6060.04074999998
28,6060.04074999998,3520.819816666658,953.0994928117885,6060.04074999998
29,6060.04074999998,3534.0004849999914,942.8452006375788,6060.04074999998
30,6060.04074999998,3591.9598166666588,948.2962083195234,6060.04074999998
