gen,best,mean,std,best_of_run
1,497.8200000000123,50.19159292000496,217.59160207411932,497.8200000000123
2,497.8200000000123,240.5239970400075,147.68351760156204,497.8200000000123
3,497.8200000000128,355.7761447000105,89.59989337493037,497.8200000000128
4,499.2210000000127,410.0942453000127,26.08451372887811,499.2210000000127
5,878.8310500000001,427.5946663000125,73.37407338782593,878.8310500000001
6,878.8310500000001,435.53067480001243,75.23345126988184,878.8310500000001
7,878.8310500000001,454.7243530000125,76.67534629856205,878.8310500000001
8,878.8310500000001,481.3521730000124,70.42470198780472,878.8310500000001
9,878.8310500000001,506.28415300001245,53.22522667068366,878.8310500000001
10,878.8310500000001,513.735465600012,71.96861647851075,878.8310500000001
11,878.8310500000001,521.1670806000118,86.90333609393244,878.8310500000001
12,878.8310500000001,521.1670806000118,86.90333609393244,878.8310500000001
13,893.9999999999999,536.1557836000111,110.91560264387472,893.9999999999999
14,893.9999999999999,536.1557836000111,110.91560264387472,893.9999999999999
15,893.9999999999999,536.1557836000111,110.91560264387472,893.9999999999999
16,2237.6199999999208,578.571884100009,265.9608906683856,2237.6199999999208
17,2276.119999999935,621.5473723000073,357.7446636188481,2276.119999999935
18,2276.119999999935,677.7777123000051,428.4888662587517,2276.119999999935
19,2276.119999999935,763.7265381000004,522.0341407623874,2276.119999999935
20,2276.119999999935,796.5987640999999,517.8274030779467,2276.119999999935
21,2276.119999999935,883.2721215999982,541.4875703197758,2276.119999999935
22,2276.119999999935,1044.6047184999918,549.6512779549047,2276.119999999935
23,2276.119999999935,1214.2721611999877,550.0313398407751,2276.119999999935
24,2292.519999999945,1395.8996264999791,612.9986392110148,2292.519999999945
25,2292.519999999945,1520.9930846999732,619.1773673204899,2292.519999999945
26,2292.519999999945,1587.0501606999708,608.7744426713931,2292.519999999945
27,2292.519999999945,1686.5128208999668,580.0179675898936,2292.519999999945
28,2292.519999999945,1740.5373996999638,566.5115686462143,2292.519999999945
29,2292.519999999945,1862.393492699953,527.8951591767274,2292.519999999945
30,2292.519999999945,1938.1630009999446,485.13924573273977,2292.519999999945
