gen,best,mean,std,best_of_run
1,403.221000000013,174.7113434033398,174.87679780300738,403.221000000013
2,403.221000000013,378.0011265000118,60.318137642796756,403.221000000013
3,403.2210000000131,402.8026630000126,0.6390857167020378,403.2210000000131
4,403.2210000000131,403.1794596666794,0.22370154114330504,403.2210000000131
5,403.2210000000131,403.2210000000128,1.3923737144427707e-13,403.2210000000131
6,403.2210000000131,403.22100000001285,1.2625553342754514e-13,403.2210000000131
7,403.2210000000131,403.2210000000129,9.954363074154038e-14,403.2210000000131
8,403.2210000000131,403.2210000000129,1.249693654232726e-13,403.2210000000131
9,403.2210000000131,403.2210000000129,1.449228509952941e-13,403.2210000000131
10,403.22100000001313,403.2210000000129,1.6310528748255017e-13,403.22100000001313
11,403.22100000001313,403.2210000000129,1.7334912947691131e-13,403.22100000001313
12,403.22100000001313,403.2210000000129,1.7915448936602257e-13,403.22100000001313
13,403.22100000001313,403.2210000000129,1.8331451766013175e-13,403.22100000001313
14,492.49053000001254,406.1966510000129,16.024371043514492,492.49053000001254
15,492.49053000001254,406.19665100001293,16.024371043514492,492.49053000001254
16,492.49053000001254,408.9616733333462,21.49511784124348,492.49053000001254
17,492.49053000001254,408.9616733333462,21.49511784124348,492.49053000001254
18,1227.819999999942,439.18330333334393,148.63231385980723,1227.819999999942
19,1227.8199999999424,537.322111666669,284.20580555288643,1227.8199999999424
20,2801.85999999999,823.0358403333227,525.6342689169552,2801.85999999999
21,2801.85999999999,1226.0451409999646,314.2830000859895,2801.85999999999
22,2801.979999999992,1333.4520503332828,392.46731595992276,2801.979999999992
23,2801.979999999992,1333.7322503332828,392.3922934308715,2801.979999999992
24,2801.979999999992,1386.3155836666185,471.30603115821657,2801.979999999992
25,2908.072099999996,1495.0007869999529,593.8258617905561,2908.072099999996
26,2908.072099999996,1547.6769659999545,635.4309803275027,2908.072099999996
27,2908.072099999996,1704.8433133332933,724.4329077231864,2908.072099999996
28,2908.072099999996,1757.349213333297,744.3198451487527,2908.072099999996
29,2908.072099999996,2052.073680666638,773.2714961097475,2908.072099999996
30,2908.072099999996,2294.247780666645,708.0962257692674,2908.072099999996
