gen,best,mean,std,best_of_run
1,403.221000000013,144.76710791667264,199.80216638386835,403.221000000013
2,497.82000000001267,388.8404935000116,60.3081017720488,497.82000000001267
3,497.82000000001267,409.02018200001277,23.741741214101378,497.82000000001267
4,497.82000000001267,409.3470820000127,23.649818607671403,497.82000000001267
5,499.2210000000127,415.88090000001273,32.277298711168456,499.2210000000127
6,499.2210000000127,419.09597000001276,35.45827436221473,499.2210000000127
7,499.2210000000127,428.60257000001275,42.058029566089836,499.2210000000127
8,499.2210000000127,438.16010000001273,45.88966233111748,499.2210000000127
9,499.2210000000127,450.7733000000126,47.52448515432838,499.2210000000127
10,499.2210000000127,463.4799000000126,45.822057446867014,499.2210000000127
11,506.96000000001254,476.0968740000125,40.266519772697706,506.96000000001254
12,506.96000000001254,488.8501740000126,28.63265989471922,506.96000000001254
13,506.96000000001254,499.0673693333459,1.5932144928433576,506.96000000001254
14,2161.9658499999205,566.9778313333426,303.5475109125195,2161.9658499999205
15,2161.9658499999205,567.6710408333422,303.4001276652859,2161.9658499999205
16,2226.1085499999217,625.5559581666722,424.4812380006852,2226.1085499999217
17,2226.1085499999217,652.5190600000045,427.5737128047673,2226.1085499999217
18,2226.1085499999217,722.4242690000004,505.86985254992715,2226.1085499999217
19,2226.1085499999217,761.6956261666654,501.8223765125948,2226.1085499999217
20,2226.1085499999217,761.6956261666654,501.8223765125948,2226.1085499999217
21,2226.1085499999217,777.0277344999973,498.8438567227017,2226.1085499999217
22,2226.1085499999217,791.6152281666637,495.76354501075735,2226.1085499999217
23,2226.1085499999217,817.1619998333296,489.8868659062714,2226.1085499999217
24,2246.6199999999217,1028.9663689999873,596.2640255138967,2246.6199999999217
25,2795.349899999994,1300.197273333317,715.34904631,2795.349899999994
26,2795.349899999994,1395.0496693333166,694.2655644401317,2795.349899999994
27,2795.819999999996,1618.262045999981,729.3592844089014,2795.819999999996
28,2795.819999999996,1668.686810999981,728.0705000130114,2795.819999999996
29,2795.819999999996,1719.6974156666477,722.5909058751978,2795.819999999996
30,2795.819999999996,1820.140310666648,702.471526895993,2795.819999999996
