gen,best,mean,std,best_of_run
1,403.221000000013,54.76071487000485,205.96925971945086,403.221000000013
2,403.221000000013,225.11604064000701,131.0730300325838,403.221000000013
3,1050.2200000000375,299.80700820000834,144.91329214310178,1050.2200000000375
4,1050.2200000000375,346.39566400001036,136.074843581147,1050.2200000000375
5,1050.2200000000375,399.69544080001236,106.59568032827713,1050.2200000000375
6,1050.2200000000375,419.6016167000131,93.20873013125546,1050.2200000000375
7,1050.2200000000375,425.02831850001326,93.82463661254573,1050.2200000000375
8,2216.9199999999078,463.30635850001113,267.66145548718026,2216.9199999999078
9,2216.9199999999078,465.25437850001106,267.5512397942589,2216.9199999999078
10,2216.9199999999078,469.12239850001106,267.3051300354962,2216.9199999999078
11,2216.9199999999078,471.07041850001116,267.1523613609679,2216.9199999999078
12,2216.9199999999078,471.7071185000111,267.0212709393641,2216.9199999999078
13,2216.9199999999078,473.711178500011,266.844607455814,2216.9199999999078
14,2216.9199999999078,477.57919850001105,266.4650242959176,2216.9199999999078
15,2216.9199999999078,479.52721850001103,266.2499066279641,2216.9199999999078
16,2216.9199999999078,498.1833855000115,276.59487320159207,2216.9199999999078
17,2216.9199999999078,507.7554937000116,274.7933802699138,2216.9199999999078
18,2216.9199999999078,523.0034137000116,271.1904003565813,2216.9199999999078
19,2216.9199999999078,532.4913337000116,268.4799403429081,2216.9199999999078
20,2216.9199999999078,557.5429497000105,270.9634704313107,2216.9199999999078
21,2216.9199999999078,568.5103097000106,266.47760290217013,2216.9199999999078
22,2216.9199999999078,601.6197587000102,281.66632326641144,2216.9199999999078
23,2216.9199999999078,609.66983870001,284.16662431654544,2216.9199999999078
24,2885.613149999991,673.300501700009,427.55000273129417,2885.613149999991
25,2885.613149999991,673.328521700009,427.5385472435368,2885.613149999991
26,2885.613149999991,673.414366400009,427.50343505559533,2885.613149999991
27,2885.613149999991,681.2617715000088,427.78541253866234,2885.613149999991
28,2893.195299999994,736.791136000008,526.543372557833,2893.195299999994
29,2893.195299999994,736.791136000008,526.543372557833,2893.195299999994
30,2893.195299999994,744.4709680000078,525.8221532771756,2893.195299999994
