gen,best,mean,std,best_of_run
1,403.221000000013,-45.93740721799603,206.8035712496664,403.221000000013
2,403.221000000013,85.52835342000452,187.92002496113471,403.221000000013
3,403.221000000013,174.5683493200056,147.71962934142445,403.221000000013
4,403.221000000013,247.738348600007,109.02517054183224,403.221000000013
5,497.82000000001204,292.361155200008,105.59307985702434,497.82000000001204
6,497.82000000001204,336.8017920000096,95.11706135423536,497.82000000001204
7,497.82000000001204,361.7384074000105,80.70309223605119,497.82000000001204
8,497.82000000001204,392.1113170000117,41.81644024115277,497.82000000001204
9,497.82000000001204,403.93433700001253,13.57211067266811,497.82000000001204
10,497.82000000001204,404.3593328000128,13.369204879075598,497.82000000001204
11,497.82000000001204,404.50206530001276,13.348670439306042,497.82000000001204
12,497.82000000001204,404.67018530001275,13.322629494447817,497.82000000001204
13,499.2210000000123,406.6757223000127,18.75781679653574,499.2210000000123
14,499.2210000000123,408.84360080001255,22.718741918211286,499.2210000000123
15,499.2210000000123,408.9529800000127,22.68840720058581,499.2210000000123
16,499.2210000000123,408.95298000001276,22.688407200585793,499.2210000000123
17,499.2210000000123,408.95298000001276,22.688407200585786,499.2210000000123
18,499.2210000000123,408.95298000001276,22.68840720058578,499.2210000000123
19,499.2210000000123,408.9529800000128,22.68840720058576,499.2210000000123
20,499.2210000000123,408.9529800000128,22.68840720058576,499.2210000000123
21,499.2210000000123,408.9529800000128,22.688407200585754,499.2210000000123
22,499.2210000000128,412.7649600000129,28.632702624069363,499.2210000000128
23,499.2210000000128,414.6569400000128,30.969622606295797,499.2210000000128
24,499.2210000000128,418.44090000001285,34.87422721853468,499.2210000000128
25,499.2210000000128,420.36090000001286,36.584161984251914,499.2210000000128
26,502.0088250000124,424.2286365000128,39.560288069836666,502.0088250000124
27,502.0088250000124,428.04061650001285,41.876284891302355,502.0088250000124
28,502.0088250000124,437.5565565000128,45.78519856241638,502.0088250000124
29,880.4682500000001,450.8854615000125,76.9192533906215,880.4682500000001
30,880.4682500000001,458.5374415000125,76.55392313952761,880.4682500000001
