gen,best,mean,std,best_of_run
1,403.221000000013,28.653332613754607,211.05397847318122,403.221000000013
2,403.221000000013,122.57977900625524,183.74393086300998,403.221000000013
3,499.22100000001257,206.55110882500648,143.36970153143815,499.22100000001257
4,499.22100000001257,257.3249430625075,119.73131576882889,499.22100000001257
5,499.22100000001257,300.12528012500854,107.82911484851049,499.22100000001257
6,499.22100000001257,336.98223762500993,97.0517623161644,499.22100000001257
7,499.22100000001257,370.2911347500111,74.38747430790583,499.22100000001257
8,499.22100000001257,390.45262950001194,48.66846294128954,499.22100000001257
9,499.22100000001257,404.53660187501265,15.198830280016832,499.22100000001257
10,499.22100000001257,405.03304743751266,14.991325921649409,499.22100000001257
11,499.22100000001257,406.3219843125127,18.176423469697703,499.22100000001257
12,499.22100000001257,407.6279645625128,20.795164442093785,499.22100000001257
13,499.22100000001257,407.7008367500128,20.777043469769946,499.22100000001257
14,499.22100000001257,407.8584492500127,20.7371097791504,499.22100000001257
15,499.22100000001257,407.9603973750127,20.710697640797417,499.22100000001257
16,499.22100000001257,409.1716473750128,23.04732208012662,499.22100000001257
17,499.22100000001257,411.5375276250128,26.857405581738526,499.22100000001257
18,499.22100000001257,417.4710986250129,33.922757018526276,499.22100000001257
19,499.22100000001257,423.42037162501293,38.886157172549844,499.22100000001257
20,499.22100000001257,429.3705498750129,42.459972812150994,499.22100000001257
21,499.22100000001257,438.88479787501285,46.043404741208754,499.22100000001257
22,499.2210000000127,459.2008563750127,46.91005545210227,499.2210000000127
23,499.2210000000127,481.76473387501244,36.179590267306494,499.2210000000127
24,499.2210000000127,498.4831747500123,0.66773194902214,499.2210000000127
25,499.2210000000127,498.67342987501235,0.6534921660193871,499.2210000000127
26,499.2210000000127,498.83950237501233,0.6005863908802553,499.2210000000127
27,499.2210000000127,498.95575312501234,0.530509306854219,499.2210000000127
28,499.2210000000127,499.0387893750123,0.45637157719155885,499.2210000000127
29,499.2210000000127,499.1716473750124,0.25005512411633385,499.2210000000127
30,499.2210000000127,499.2210000000124,1.430998494831113e-13,499.2210000000127
