gen,best,mean,std,best_of_run
1,403.221000000013,11.149715272504288,197.61911505000722,403.221000000013
2,403.221000000013,74.44357835000437,171.30330295173528,403.221000000013
3,497.8200000000123,119.32357750625465,146.7596019074958,497.8200000000123
4,497.82000000001244,183.42513748750568,129.97912704875668,497.82000000001244
5,497.82000000001244,234.9939352500066,110.6307562196332,497.82000000001244
6,497.82000000001244,271.1942945000073,106.43291981887594,497.82000000001244
7,497.82000000001244,292.3783615625081,103.24725963214026,497.82000000001244
8,497.82000000001244,309.64759656250874,101.65887254816097,497.82000000001244
9,497.82000000001244,322.57017156250913,97.98610649767792,497.82000000001244
10,497.82000000001244,344.25650568750996,89.43069215926228,497.82000000001244
11,497.82000000001244,365.7765391875107,74.37066291243872,497.82000000001244
12,499.22100000001234,393.8543800625117,44.51401441485191,499.22100000001234
13,499.22100000001234,399.4746142500121,37.633879665722674,499.22100000001234
14,499.22100000001234,408.49184556251265,23.147311951717874,499.22100000001234
15,499.22100000001234,408.5130000000127,23.141494906336465,499.22100000001234
16,499.22100000001234,408.5830500000127,23.123242208814403,499.22100000001234
17,499.22100000001234,408.6355875000127,23.10940387845043,499.22100000001234
18,499.22100000001234,408.7406625000127,23.081343574921924,499.22100000001234
19,499.22100000001234,410.02822500001264,25.13869742199007,499.22100000001234
20,499.2210000000128,412.5333000000126,28.60880771563183,499.2210000000128
21,1227.8199999999401,424.14757706251174,95.28111506776737,1227.8199999999401
22,1227.8199999999401,425.82090518751176,95.57008821354005,1227.8199999999401
23,1227.8199999999401,429.4071426875118,96.44140405857956,1227.8199999999401
24,1227.8199999999401,431.77211768751187,96.92892465337606,1227.8199999999401
25,1227.8199999999401,434.1370926875117,97.35657265243181,1227.8199999999401
26,1227.8199999999401,434.1370926875118,97.35657265243181,1227.8199999999401
27,1227.8199999999401,436.5020676875118,97.72513407151396,1227.8199999999401
28,1227.8199999999401,440.0679479375118,98.17957695202806,1227.8199999999401
29,1227.8199999999401,443.1687367500118,98.32671691203265,1227.8199999999401
30,1227.8199999999401,443.1687367500118,98.32671691203265,1227.8199999999401
