gen,best,mean,std,best_of_run
1,403.221000000013,182.0395189000054,142.3803845152152,403.221000000013
2,403.221000000013,321.9968175000085,94.83823289569261,403.221000000013
3,499.2210000000128,409.0203093333459,24.116422450084183,499.2210000000128
4,499.2210000000128,412.5005093333458,28.757009004192152,499.2210000000128
5,499.2210000000128,412.77430000001254,28.660660945100307,499.2210000000128
6,1148.799895000036,440.8269298333465,135.40786298089262,1148.799895000036
7,1148.799895000036,440.8269298333466,135.4078629808926,1148.799895000036
8,1148.799895000036,447.13352983334664,135.71213318166645,1148.799895000036
9,1148.799895000036,477.5222465000122,169.3544787790849,1148.799895000036
10,1148.799895000036,477.5222465000122,169.35447877908487,1148.799895000036
11,1148.799895000036,477.5222465000123,169.35447877908487,1148.799895000036
12,1148.799895000036,477.5222465000123,169.35447877908487,1148.799895000036
13,1148.799895000036,477.5222465000123,169.35447877908487,1148.799895000036
14,1148.799895000036,480.6755465000123,168.82152400440114,1148.799895000036
15,1148.799895000036,483.87554650001226,168.23185747523746,1148.799895000036
16,1166.5571050000372,540.2422710000121,213.0387665232587,1166.5571050000372
17,1166.5571050000372,567.6901710000114,211.75554859998215,1166.5571050000372
18,1166.5571050000372,589.5999216666776,202.2507247202792,1166.5571050000372
19,1166.5571050000372,621.4629891666767,207.9531120582944,1166.5571050000372
20,1166.5571050000372,670.1381715000088,206.44756737774028,1166.5571050000372
21,1166.5571050000372,739.1210103333407,201.2357289560589,1166.5571050000372
22,1229.220999999945,837.1578043333343,194.29538775531387,1229.220999999945
23,3728.8895299999936,1007.9132531666633,524.7401573215599,3728.8895299999936
24,3728.8895299999936,1089.0257701666608,557.5592282518542,3728.8895299999936
25,3728.8895299999936,1100.3037833333283,553.0079723780846,3728.8895299999936
26,3728.8895299999936,1126.9750778333305,553.8716242978203,3728.8895299999936
27,3728.8895299999936,1238.6026056666667,625.5379224818298,3728.8895299999936
28,3728.8895299999936,1251.0774444999981,621.5094479106465,3728.8895299999936
29,4755.139999999932,1524.1007363333188,890.7291028268772,4755.139999999932
30,4755.139999999932,1667.6795109999753,877.9175880218202,4755.139999999932
