gen,best,mean,std,best_of_run
1,403.221000000013,197.81913825000703,184.01601905897274,403.221000000013
2,403.221000000013,345.9993893333437,89.37628507173429,403.221000000013
3,403.221000000013,402.43117466667934,0.6910215004456174,403.221000000013
4,497.82000000001227,407.8755790000125,19.404182607416594,497.82000000001227
5,497.82000000001227,408.195018333346,19.313431228027273,497.82000000001227
6,499.22100000001245,411.39501833334606,25.261332278136145,499.22100000001245
7,499.2210000000128,420.948318333346,36.102502622238376,499.2210000000128
8,857.2691000000002,448.6964550000122,87.26291793965535,857.2691000000002
9,857.2691000000002,455.0497550000121,87.19009712490306,857.2691000000002
10,877.797675,498.59160883334454,129.1342240883626,877.797675
11,877.797675,536.1165341666774,131.37062817084936,877.797675
12,891.9372500000105,560.1396575000108,138.09670842879257,891.9372500000105
13,891.9372500000105,560.7546775000104,137.84277169314055,891.9372500000105
14,891.9372500000105,560.8013775000105,137.82167773967478,891.9372500000105
15,891.9372500000105,560.8947775000106,137.7794326577874,891.9372500000105
16,2381.2210000000027,636.7615845000097,356.0662564492555,2381.2210000000027
17,2381.2210000000027,723.0900920000084,471.1028672171413,2381.2210000000027
18,4502.739999999996,973.0737160000043,891.407432830065,4502.739999999996
19,4502.739999999996,997.4070493333352,888.0977431275462,4502.739999999996
20,4502.739999999996,1153.4247243333325,954.1883769806958,4502.739999999996
21,4502.739999999996,1354.0180309999944,1068.2575620440823,4502.739999999996
22,4502.739999999996,1630.9389216666516,1040.3545541959816,4502.739999999996
23,4884.959999999951,2270.6956249999807,1050.7866995113768,4884.959999999951
24,4886.960999999942,2891.472623499975,961.5783912586166,4886.960999999942
25,4886.960999999942,3093.895849333313,810.6165092117903,4886.960999999942
26,4886.960999999942,3119.2287926666513,791.9882268361827,4886.960999999942
27,4886.960999999942,3281.787660999993,797.8146467477051,4886.960999999942
28,4886.960999999942,3416.660710666657,735.4679830880601,4886.960999999942
29,4886.960999999942,3416.660710666657,735.4679830880601,4886.960999999942
30,4954.899999999934,3533.067422333321,776.8057318256396,4954.899999999934
