gen,best,mean,std,best_of_run
1,403.221000000013,235.93602706667414,149.63656334069665,403.221000000013
2,403.2210000000131,402.52050000001276,0.7005000000000658,403.2210000000131
3,403.2210000000131,403.2210000000129,9.735559144447452e-14,403.2210000000131
4,403.22100000001313,403.2210000000129,1.2752873067608136e-13,403.22100000001313
5,497.8200000000129,406.3743000000129,16.981040186337207,497.8200000000129
6,497.8200000000129,408.3336060000129,18.166503651184755,497.8200000000129
7,497.8200000000129,411.4869060000128,24.210213128324725,497.8200000000129
8,497.8200000000129,411.4869060000128,24.210213128324725,497.8200000000129
9,497.8200000000129,414.6402060000129,28.676826580870237,497.8200000000129
10,497.8200000000129,415.55017266667954,28.73310511950621,497.8200000000129
11,497.8200000000129,416.0038560000128,28.642159100610275,497.8200000000129
12,499.2210000000129,422.35715600001276,34.97257848236346,499.2210000000129
13,873.1312000000005,444.37412933334565,88.66629886115878,873.1312000000005
14,894.28,492.7433710000114,137.3597961364079,894.28
15,894.28,516.0010376666781,127.73486148164811,894.28
16,894.28,537.2336150000115,115.78474004115422,894.28
17,894.28,550.7745150000112,131.88673277392388,894.28
18,894.28,550.914615000011,131.83113850212857,894.28
19,1227.8199999999408,613.6209373333407,198.55949866574022,1227.8199999999408
20,1278.7936000000361,678.8405973333403,236.43687933481593,1278.7936000000361
21,2907.6567999999947,899.1543910000017,583.3583421117308,2907.6567999999947
22,2907.6567999999947,913.4243350000011,577.8746918996135,2907.6567999999947
23,2907.6567999999947,952.8194533333331,561.4911125673001,2907.6567999999947
24,2907.6567999999947,1043.6321346666616,517.7815520988266,2907.6567999999947
25,2907.6567999999947,1151.6163128333274,550.3569989667112,2907.6567999999947
26,2907.6567999999947,1163.6426258333258,547.988346790085,2907.6567999999947
27,2907.6567999999947,1330.7149939999886,629.848795281424,2907.6567999999947
28,2910.0866999999967,1409.0293821666532,679.2463578173752,2910.0866999999967
29,2910.0866999999967,1458.5333821666536,693.9175928037954,2910.0866999999967
30,2910.0866999999967,1574.2862588333207,736.7018252337933,2910.0866999999967
