gen,best,mean,std,best_of_run
1,403.221000000013,-3.4004935674958716,207.65155358608132,403.221000000013
2,403.221000000013,119.29218033125457,171.72910486618784,403.221000000013
3,403.221000000013,168.23010180625516,136.52378598088518,403.221000000013
4,403.221000000013,211.94377891250588,111.59258099769119,403.221000000013
5,403.221000000013,240.3328328125064,98.435436736435,403.221000000013
6,403.221000000013,271.5646445000069,93.62913790656039,403.221000000013
7,403.221000000013,306.8054238750083,95.17462040111769,403.221000000013
8,403.2210000000131,330.35377406250916,89.9016982652802,403.2210000000131
9,403.2210000000131,357.7833672500102,74.58387375393274,403.2210000000131
10,403.2210000000131,375.15857381251095,57.98077179405684,403.2210000000131
11,403.2210000000131,392.83655012501197,28.449859271473205,403.2210000000131
12,403.2210000000131,402.4111667500127,0.6973829823253178,403.2210000000131
13,403.2210000000131,402.57511825001274,0.6964474529204431,403.2210000000131
14,403.2210000000131,402.6803027500128,0.6799506149161558,403.2210000000131
15,403.2210000000131,402.7853777500128,0.6463045220229895,403.2210000000131
16,403.2210000000131,402.89045275001274,0.5924565135095256,403.2210000000131
17,499.2210000000127,404.2480652500127,10.69507307430037,499.2210000000127
18,499.2210000000127,404.3899200000127,10.671095496789556,499.2210000000127
19,499.2210000000127,404.8221808750128,11.203209690209105,499.2210000000127
20,499.2210000000127,404.8221808750128,11.2032096902091,499.2210000000127
21,499.2210000000127,404.82218087501286,11.203209690209093,499.2210000000127
22,499.2210000000127,405.2623315000129,11.807085122052754,499.2210000000127
23,499.2210000000127,405.2623315000129,11.807085122052754,499.2210000000127
24,499.2210000000127,405.2623315000129,11.80708512205275,499.2210000000127
25,499.2210000000127,405.2623315000129,11.807085122052747,499.2210000000127
26,499.2210000000127,406.4448190000129,15.653862764187954,499.2210000000127
27,499.2210000000127,407.644819000013,18.736762095944663,499.2210000000127
28,499.2210000000127,407.684946625013,18.730681434934287,499.2210000000127
29,499.2210000000127,407.6849466250131,18.730681434934287,499.2210000000127
30,499.2210000000127,408.8674341250131,21.23075983502181,499.2210000000127
