gen,best,mean,std,best_of_run
1,403.221000000013,47.14306384000454,197.07700404799706,403.221000000013
2,483.3741500000123,208.18939174000607,126.74015261175381,483.3741500000123
3,483.3741500000123,264.19774460000633,95.83777837922813,483.3741500000123
4,483.3741500000123,308.2059881000079,93.59646777603116,483.3741500000123
5,483.3741500000123,337.0885409000088,83.54645556831626,483.3741500000123
6,483.3741500000123,373.54506170001014,55.552477061207725,483.3741500000123
7,492.5050000000128,404.16407890001216,23.652775541199365,492.5050000000128
8,497.82000000001227,409.35557770001253,22.812505038273063,497.82000000001227
9,499.2210000000129,415.25567770001265,30.90653656163519,499.2210000000129
10,499.2210000000129,415.3117177000126,30.88338555012188,499.2210000000129
11,499.2210000000129,417.29177770001263,32.88776678942721,499.2210000000129
12,499.2210000000129,419.29809700001266,34.646342429387595,499.2210000000129
13,499.2210000000129,419.4296975000125,34.582257539418116,499.2210000000129
14,499.2210000000129,421.3556975000125,36.2505911365958,499.2210000000129
15,499.2210000000129,423.0666721000125,37.356306216764544,499.2210000000129
16,668.6019299999973,430.29429070001225,51.47078789068459,668.6019299999973
17,668.6019299999973,434.1650413000123,52.83091863793833,668.6019299999973
18,668.6019299999973,434.1650413000123,52.83091863793832,668.6019299999973
19,668.6019299999973,434.1715779000123,52.82710970815622,668.6019299999973
20,668.6019299999973,436.09157790001234,53.40867814299069,668.6019299999973
21,668.6019299999973,439.9035579000123,54.31989648733408,668.6019299999973
22,668.6019299999973,449.4755379000123,55.43499209126855,668.6019299999973
23,668.6019299999973,460.88345790001216,54.51714627080435,668.6019299999973
24,668.6019299999973,476.8524403000121,48.56385716382144,668.6019299999973
25,668.6019299999973,486.34036030001204,42.08855937994687,668.6019299999973
26,668.6019299999973,493.90383910001214,33.80503822922231,668.6019299999973
27,668.6019299999973,501.01052660001193,24.133549472165768,668.6019299999973
28,668.6019299999973,501.82170890001197,23.835168596297645,668.6019299999973
29,668.6019299999973,501.8459864000119,23.83169820830232,668.6019299999973
30,668.6019299999973,501.874006400012,23.827771488608498,668.6019299999973
