generation,best,mean,min,std,best_of_run,gen_seeds
28,5357.6442600000655,4339.568548000037,3981.6786599999473,359.8435854939516,5357.6442600000655,"[203, 833, 976, 748, 725]"
29,6868.419000000036,4715.14803000005,4045.764480000061,731.1065483007453,6868.419000000036,"[290, 57, 723, 388, 538]"
30,6868.419000000036,4963.21740133339,4372.86960000008,651.4759381356472,6868.419000000036,"[808, 731, 279, 674, 982]"
31,6868.419000000036,5236.086982666719,4528.425090000079,754.1895795972132,6868.419000000036,"[200, 316, 462, 902, 417]"
32,6868.419000000036,5236.086982666719,4528.425090000079,754.1895795972132,6868.419000000036,"[840, 895, 298, 267, 433]"
33,6868.419000000036,5573.921752000041,4532.610000000037,748.4745548050585,6868.419000000036,"[197, 44, 188, 817, 635]"
34,6868.419000000036,5892.672206000033,5292.254100000082,571.783245136377,6868.419000000036,"[231, 727, 632, 207, 500]"
35,6868.419000000036,5892.672206000033,5292.254100000082,571.783245136377,6868.419000000036,"[831, 141, 496, 14, 161]"
36,6868.419000000036,5892.672206000033,5292.254100000082,571.783245136377,6868.419000000036,"[340, 54, 912, 241, 781]"
37,6868.419000000036,5997.74986600003,5357.6442600000655,596.0985028110081,6868.419000000036,"[275, 784, 258, 480, 6]"
38,6868.419000000036,6008.114915333356,5357.6442600000655,586.1467837936344,6868.419000000036,"[121, 561, 298, 228, 231]"
39,6868.419000000036,6064.005633333353,5395.578700000074,560.8835184264036,6868.419000000036,"[812, 62, 577, 433, 309]"
40,6868.419000000036,6162.194986666685,5416.384000000022,564.1822330466257,6868.419000000036,"[828, 738, 107, 985, 304]"
41,6868.419000000036,6162.194986666685,5416.384000000022,564.1822330466257,6868.419000000036,"[981, 256, 749, 61, 727]"
42,6868.419000000036,6213.446053333356,5486.57120000003,527.8520442049091,6868.419000000036,"[757, 411, 310, 322, 955]"
43,6868.419000000036,6213.446053333356,5486.57120000003,527.8520442049091,6868.419000000036,"[505, 267, 430, 109, 185]"
44,6868.419000000036,6358.937020666696,5527.002339999961,465.7742880128222,6868.419000000036,"[593, 500, 212, 204, 615]"
45,6868.419000000036,6448.364798000035,5702.657300000056,424.3961965424454,6868.419000000036,"[634, 606, 759, 749, 906]"
