generation,best,mean,min,std,best_of_run
1,1391.8200000000127,307.62797493332914,-539.9799999999932,669.0952737721409,1391.8200000000127
2,1391.8200000000127,886.4202239999809,824.9199999999729,143.2341100329716,1391.8200000000127
3,1391.8200000000127,927.6776536666526,835.1256799999728,167.08950825770478,1391.8200000000127
4,1391.8200000000127,927.9782296666529,836.6219999999732,166.9247681665859,1391.8200000000127
5,1391.8200000000127,928.0315629999861,837.4219999999731,166.89569612543303,1391.8200000000127
6,1480.4903900000122,1020.541609333331,837.4219999999734,203.5723059920373,1480.4903900000122
7,1480.4903900000122,1066.5821546666741,837.421999999974,195.18021678203615,1480.4903900000122
8,1480.4903900000122,1083.5911696666767,861.2200000000083,185.33761702528005,1480.4903900000122
9,1480.4903900000122,1115.3783676666776,896.410305000002,156.47958961957744,1480.4903900000122
10,1480.4903900000122,1146.8056806666782,1020.0200000000129,156.68493965998385,1480.4903900000122
11,1630.0876500000124,1230.4963696666784,1025.9200000000121,176.4584628190764,1630.0876500000124
12,1713.6135799999988,1379.812884333344,1092.5572250000114,191.03354093643387,1713.6135799999988
13,1713.6135799999988,1406.4704026666775,1147.4200000000042,176.4298549688688,1713.6135799999988
14,1803.6,1489.1058306666766,1234.3074500000123,191.21622416802361,1803.6
15,1803.6,1536.497743333342,1280.8421500000104,180.38959134171827,1803.6
16,2492.6454000000062,1644.3782733333412,1356.2200000000123,274.26180826032083,2492.6454000000062
17,2492.6454000000062,1680.7986400000061,1393.9112200000125,255.17078973292493,2492.6454000000062
18,2492.6454000000062,1680.7986400000061,1393.9112200000125,255.17078973292493,2492.6454000000062
19,5478.099999999964,1968.400765333336,1480.4903900000122,966.1747486844894,5478.099999999964
20,5478.099999999964,2187.1360726666685,1489.3800000000008,1178.9313290582825,5478.099999999964
21,5478.099999999964,2188.116072666669,1492.4200000000126,1178.356873927717,5478.099999999964
22,5822.327899999994,2476.776599333335,1504.0800000000024,1467.4581861291992,5822.327899999994
23,5822.327899999994,3022.0914133333185,1641.8200000000127,1715.5921457647428,5822.327899999994
24,5822.327899999994,3651.2396613332935,1760.8085999999992,1724.5771229587453,5822.327899999994
25,8436.039999999997,4097.720281333293,1784.3303,2014.2997984010724,8436.039999999997
26,8436.039999999997,4099.948346666626,1800.1500999999998,2011.7507411848196,8436.039999999997
27,8436.039999999997,4213.7584533332865,1803.6399999999992,1924.8125775423669,8436.039999999997
28,8436.039999999997,4343.62029666661,1804.0199999999986,1820.5994893811362,8436.039999999997
29,8436.039999999997,5114.826030666599,2492.6454000000062,1499.4830721344754,8436.039999999997
30,8436.039999999997,5114.826030666599,2492.6454000000062,1499.4830721344754,8436.039999999997
31,8436.039999999997,5339.37458399993,3506.8816999999,1332.9457935285297,8436.039999999997
32,8436.039999999997,5494.423930666603,3690.019999999847,1243.0024288950553,8436.039999999997
33,8436.039999999997,5495.6549639999375,3692.9673999998467,1241.2226599893588,8436.039999999997
34,8436.039999999997,5899.914103999965,4765.822000000004,871.1073586431584,8436.039999999997
35,8436.039999999997,5904.345713999956,4832.2961499998755,865.4774813968027,8436.039999999997
36,8436.039999999997,5904.345713999956,4832.2961499998755,865.4774813968027,8436.039999999997
37,8436.039999999997,5904.345713999956,4832.2961499998755,865.4774813968027,8436.039999999997
38,8436.039999999997,5971.209423999963,5222.681299999809,817.4835952535027,8436.039999999997
39,8436.039999999997,6050.675630666654,5478.099999999964,771.7132848512307,8436.039999999997
40,8436.039999999997,6050.675630666654,5478.099999999964,771.7132848512307,8436.039999999997
41,8436.039999999997,6241.478297333323,5511.439999999965,941.6595383238747,8436.039999999997
42,8436.039999999997,6259.211257333325,5571.559999999974,930.1793463903789,8436.039999999997
43,8436.039999999997,6278.786197333326,5762.702199999991,918.5187249636407,8436.039999999997
44,8436.039999999997,6281.0303039999935,5777.434399999988,917.2954034754127,8436.039999999997
45,8436.039999999997,6283.8518506666605,5779.13439999999,915.8059151953836,8436.039999999997
46,8436.039999999997,6287.231603999994,5796.36379999999,914.0288570885538,8436.039999999997
47,8436.039999999997,6287.231603999994,5796.36379999999,914.0288570885538,8436.039999999997
48,8436.039999999997,6294.267870666661,5819.75759999999,910.4768677386986,8436.039999999997
49,8436.039999999997,6294.267870666661,5819.75759999999,910.4768677386986,8436.039999999997
50,8436.039999999997,6294.546150666661,5822.327899999994,910.3324213756459,8436.039999999997
51,8436.039999999997,6294.546150666661,5822.327899999994,910.3324213756459,8436.039999999997
52,8436.039999999997,6294.546150666661,5822.327899999994,910.3324213756459,8436.039999999997
53,8436.039999999997,6402.371274666661,5829.830699999994,942.2868789877331,8436.039999999997
54,8436.039999999997,6561.622721333329,5832.621899999995,1026.382052376091,8436.039999999997
55,9885.09569999999,6833.308747999994,5837.211799999995,1295.5294570148158,9885.09569999999
56,11196.194299999988,7190.574247999993,5854.278099999994,1659.396080055998,11196.194299999988
57,11196.194299999988,7359.402681333327,5860.873699999992,1640.5081996200845,11196.194299999988
58,11196.194299999988,7359.402681333327,5860.873699999992,1640.5081996200845,11196.194299999988
59,11196.194299999988,7359.402681333327,5860.873699999992,1640.5081996200845,11196.194299999988
60,11196.194299999988,7359.402681333327,5860.873699999992,1640.5081996200845,11196.194299999988
61,11196.194299999988,7359.402681333327,5860.873699999992,1640.5081996200845,11196.194299999988
62,11196.194299999988,7360.374967999993,5861.678999999995,1639.6238557374895,11196.194299999988
63,11196.194299999988,7464.953345333326,5865.184099999996,1589.9738744658655,11196.194299999988
64,11196.194299999988,7464.953345333326,5865.184099999996,1589.9738744658655,11196.194299999988
65,11196.194299999988,7654.298805333325,5872.778099999997,1556.9594340565118,11196.194299999988
66,11196.194299999988,7654.298805333325,5872.778099999997,1556.9594340565118,11196.194299999988
67,11196.194299999988,7654.298805333325,5872.778099999997,1556.9594340565118,11196.194299999988
68,11196.194299999988,7654.298805333325,5872.778099999997,1556.9594340565118,11196.194299999988
69,11196.194299999988,7654.298805333325,5872.778099999997,1556.9594340565118,11196.194299999988
70,11196.194299999988,7832.968841666657,5876.595799999997,1494.3741238286495,11196.194299999988
71,11196.194299999988,7832.968841666657,5876.595799999997,1494.3741238286495,11196.194299999988
72,11196.194299999988,7998.35845499999,5879.053099999996,1403.202978529594,11196.194299999988
73,11196.194299999988,7998.35845499999,5879.053099999996,1403.202978529594,11196.194299999988
74,11196.194299999988,8255.793280333322,5896.381299999997,1153.175205802923,11196.194299999988
75,11196.194299999988,8358.176837666655,7428.870479999986,996.7128829943888,11196.194299999988
76,11196.194299999988,8358.176837666655,7428.870479999986,996.7128829943888,11196.194299999988
77,11196.194299999988,8358.176837666655,7428.870479999986,996.7128829943888,11196.194299999988
78,12871.803549999979,8787.32606499999,7431.134659999987,1432.7547937798188,12871.803549999979
79,12871.803549999979,8787.32606499999,7431.134659999987,1432.7547937798188,12871.803549999979
80,12871.803549999979,8787.32606499999,7431.134659999987,1432.7547937798188,12871.803549999979
81,12871.803549999979,8836.01924099999,7431.614659999983,1397.8219203453218,12871.803549999979
82,12871.803549999979,8887.192456999992,7432.134659999983,1358.9820070733213,12871.803549999979
83,12871.803549999979,8948.763809666658,8161.532299999998,1311.764758856912,12871.803549999979
84,12871.803549999979,8948.763809666658,8161.532299999998,1311.764758856912,12871.803549999979
85,12871.803549999979,8948.763809666658,8161.532299999998,1311.764758856912,12871.803549999979
86,12871.803549999979,8949.438786333327,8171.656950000002,1311.3620533961473,12871.803549999979
87,12871.803549999979,9055.68065966666,8196.853899999991,1293.14548067273,12871.803549999979
88,12871.803549999979,9066.855732999993,8199.212900000002,1286.3820124055583,12871.803549999979
89,12871.803549999979,9085.196206333325,8340.139999999989,1275.7985510365088,12871.803549999979
90,12871.803549999979,9172.663735666658,8355.70495,1266.662328045424,12871.803549999979
91,12871.803549999979,9172.663735666658,8355.70495,1266.662328045424,12871.803549999979
92,12871.803549999979,9276.438805666658,8356.239999999994,1259.223274522503,12871.803549999979
93,12871.803549999979,9285.658805666657,8357.439999999982,1252.94249936806,12871.803549999979
94,12871.803549999979,9305.956345666658,8364.479999999987,1240.1417870025423,12871.803549999979
95,12871.803549999979,9309.833678999992,8420.079999999994,1237.279793994693,12871.803549999979
96,12871.803549999979,9528.329678999979,8424.66,1342.646720845776,12871.803549999979
97,12871.803549999979,9528.329678999979,8424.66,1342.646720845776,12871.803549999979
98,12871.803549999979,10160.273658999964,8474.320000000005,1527.1807702643387,12871.803549999979
99,12871.803549999979,10406.800978999961,8494.540000000005,1533.5820498948253,12871.803549999979
100,12871.803549999979,10406.800978999961,8494.540000000005,1533.5820498948253,12871.803549999979
101,12871.803549999979,10406.800978999961,8494.540000000005,1533.5820498948253,12871.803549999979
102,12871.803549999979,10583.272115999956,8661.903099999996,1374.4243142701705,12871.803549999979
103,12871.803549999979,10583.272115999956,8661.903099999996,1374.4243142701705,12871.803549999979
104,12902.09999999998,10865.951909333291,8705.36599999999,1386.177449233254,12902.09999999998
105,12931.439999999986,11171.12499933329,9652.152939999969,1322.0095484069668,12931.439999999986
106,12931.439999999986,11251.684169999959,9874.20919999998,1257.2062310244778,12931.439999999986
107,12931.439999999986,11252.123103333292,9880.793199999993,1256.7262889114063,12931.439999999986
108,12931.439999999986,11388.945496666624,9881.976999999984,1210.8628447674132,12931.439999999986
109,12931.439999999986,11389.380883333293,9885.09569999999,1210.3219632473226,12931.439999999986
110,12931.439999999986,11513.857723333278,9892.66739999999,1139.1433032182472,12931.439999999986
111,14706.22519999998,11974.906363333277,9922.709099999993,1197.913016908065,14706.22519999998
112,14706.22519999998,12168.060349999938,10754.462799999987,942.4829296157241,14706.22519999998
113,14706.22519999998,12195.203023333273,11161.602899999985,906.5597529052679,14706.22519999998
114,14706.22519999998,12195.203023333273,11161.602899999985,906.5597529052679,14706.22519999998
115,14706.22519999998,12195.203023333273,11161.602899999985,906.5597529052679,14706.22519999998
116,14706.22519999998,12195.203023333273,11161.602899999985,906.5597529052679,14706.22519999998
117,14706.22519999998,12200.537069999938,11196.194299999988,900.6788394074695,14706.22519999998
118,14706.22519999998,12200.537069999938,11196.194299999988,900.6788394074695,14706.22519999998
119,14706.22519999998,12246.206523333272,11237.434999999985,865.2667720274117,14706.22519999998
120,14706.22519999998,12246.206523333272,11237.434999999985,865.2667720274117,14706.22519999998
121,14706.22519999998,12246.206523333272,11237.434999999985,865.2667720274117,14706.22519999998
122,14706.22519999998,12246.206523333272,11237.434999999985,865.2667720274117,14706.22519999998
123,14706.22519999998,12246.206523333272,11237.434999999985,865.2667720274117,14706.22519999998
124,14706.22519999998,12246.206523333272,11237.434999999985,865.2667720274117,14706.22519999998
125,14706.22519999998,12246.206523333272,11237.434999999985,865.2667720274117,14706.22519999998
126,14706.22519999998,12246.206523333272,11237.434999999985,865.2667720274117,14706.22519999998
127,15452.059999999969,12660.73060999994,11679.759999999758,1063.445963045772,15452.059999999969
128,15452.059999999969,12684.530009999957,11712.539999999768,1045.0617458371025,15452.059999999969
129,15452.059999999969,12684.530009999957,11712.539999999768,1045.0617458371025,15452.059999999969
130,15452.059999999969,12761.764273333307,11845.649899999986,1012.6816024247926,15452.059999999969
131,15452.059999999969,12884.91051666664,11933.12909999998,950.781866707695,15452.059999999969
132,15452.059999999969,12950.055243333307,12014.50279999998,916.1838098135605,15452.059999999969
133,16301.660949999998,13235.86578666664,12035.959999999832,1203.4278551702132,16301.660949999998
134,16301.660949999998,13235.86578666664,12035.959999999832,1203.4278551702132,16301.660949999998
135,16301.660949999998,13235.86578666664,12035.959999999832,1203.4278551702132,16301.660949999998
136,16301.660949999998,13351.369053333316,12172.229799999961,1121.5437679135314,16301.660949999998
137,16301.660949999998,13400.448399999983,12692.899999999994,1084.361843090032,16301.660949999998
138,16301.660949999998,13415.387066666652,12862.322699999984,1076.0228808060886,16301.660949999998
139,16301.660949999998,13420.013553333314,12871.053949999987,1073.781826762833,16301.660949999998
140,16301.660949999998,13514.421959333316,12871.803549999979,1083.5755022131104,16301.660949999998
141,16301.660949999998,13516.643055999983,12881.179649999984,1082.289378848473,16301.660949999998
142,19611.769199999973,13965.349025999982,12902.09999999998,1849.2691845109275,19611.769199999973
143,19611.769199999973,13965.349025999982,12902.09999999998,1849.2691845109275,19611.769199999973
144,19611.769199999973,13965.349025999982,12902.09999999998,1849.2691845109275,19611.769199999973
145,19611.769199999973,13965.349025999982,12902.09999999998,1849.2691845109275,19611.769199999973
146,19611.769199999973,13966.706359333317,12902.199999999986,1848.495589133323,19611.769199999973
147,19611.769199999973,14136.650359333316,12903.059999999978,1859.9614215053668,19611.769199999973
148,19611.769199999973,14305.497025999985,12905.119999999984,1855.2654809755252,19611.769199999973
149,19611.769199999973,14305.497025999985,12905.119999999984,1855.2654809755252,19611.769199999973
150,19611.769199999973,14305.497025999985,12905.119999999984,1855.2654809755252,19611.769199999973
151,19611.769199999973,14305.497025999985,12905.119999999984,1855.2654809755252,19611.769199999973
152,19611.769199999973,14305.497025999985,12905.119999999984,1855.2654809755252,19611.769199999973
153,19611.769199999973,14475.156619333307,12909.999999999984,1829.417791224192,19611.769199999973
154,19611.769199999973,14475.156619333307,12909.999999999984,1829.417791224192,19611.769199999973
155,19611.769199999973,14664.969952666639,12910.299999999985,1804.7165111990241,19611.769199999973
156,19611.769199999973,14664.969952666639,12910.299999999985,1804.7165111990241,19611.769199999973
157,19611.769199999973,14664.969952666639,12910.299999999985,1804.7165111990241,19611.769199999973
158,19611.769199999973,14664.969952666639,12910.299999999985,1804.7165111990241,19611.769199999973
159,19611.769199999973,14665.845952666637,12916.979999999983,1803.867580312177,19611.769199999973
160,19611.769199999973,14666.181952666639,12922.019999999986,1803.542234028667,19611.769199999973
161,19611.769199999973,14666.181952666639,12922.019999999986,1803.542234028667,19611.769199999973
162,19611.769199999973,14666.181952666639,12922.019999999986,1803.542234028667,19611.769199999973
163,19611.769199999973,14835.588376666636,12923.439999999971,1748.389125838272,19611.769199999973
164,19611.769199999973,14835.588376666636,12923.439999999971,1748.389125838272,19611.769199999973
165,19611.769199999973,14835.588376666636,12923.439999999971,1748.389125838272,19611.769199999973
166,19611.769199999973,14835.631043333304,12924.07999999999,1748.3424695524975,19611.769199999973
167,19611.769199999973,14951.87737999997,12931.439999999986,1673.7576675257149,19611.769199999973
168,19611.769199999973,14951.87737999997,12931.439999999986,1673.7576675257149,19611.769199999973
169,19611.769199999973,14951.87737999997,12931.439999999986,1673.7576675257149,19611.769199999973
170,19611.769199999973,14951.87737999997,12931.439999999986,1673.7576675257149,19611.769199999973
171,19611.769199999973,14951.87737999997,12931.439999999986,1673.7576675257149,19611.769199999973
172,19611.769199999973,15378.728046666636,12931.719999999983,1904.582769861029,19611.769199999973
173,19611.769199999973,15378.728046666636,12931.719999999983,1904.582769861029,19611.769199999973
174,19611.769199999973,15378.728046666636,12931.719999999983,1904.582769861029,19611.769199999973
175,19611.769199999973,15378.728046666636,12931.719999999983,1904.582769861029,19611.769199999973
176,19611.769199999973,15378.728046666636,12931.719999999983,1904.582769861029,19611.769199999973
177,19611.769199999973,15378.728046666636,12931.719999999983,1904.582769861029,19611.769199999973
178,19611.769199999973,15380.204046666639,12942.499999999967,1902.6934749354007,19611.769199999973
179,19611.769199999973,15546.042713333305,12953.859999999977,1787.9445654081003,19611.769199999973
180,19611.769199999973,15648.545379999972,12978.353899999905,1677.0300060516042,19611.769199999973
181,19611.769199999973,15648.545379999972,12978.353899999905,1677.0300060516042,19611.769199999973
182,19611.769199999973,15648.545379999972,12978.353899999905,1677.0300060516042,19611.769199999973
183,19611.769199999973,15814.247119999978,14287.180039999987,1520.4992026980656,19611.769199999973
184,19611.769199999973,15814.247119999978,14287.180039999987,1520.4992026980656,19611.769199999973
185,19611.769199999973,15814.247119999978,14287.180039999987,1520.4992026980656,19611.769199999973
186,19611.769199999973,15814.247119999978,14287.180039999987,1520.4992026980656,19611.769199999973
187,19611.769199999973,15814.247119999978,14287.180039999987,1520.4992026980656,19611.769199999973
188,19611.769199999973,15814.247119999978,14287.180039999987,1520.4992026980656,19611.769199999973
189,19611.769199999973,15840.477783999979,14491.399999999994,1497.1434556240436,19611.769199999973
190,19611.769199999973,15840.477783999979,14491.399999999994,1497.1434556240436,19611.769199999973
191,19611.769199999973,15840.477783999979,14491.399999999994,1497.1434556240436,19611.769199999973
192,19611.769199999973,15840.477783999979,14491.399999999994,1497.1434556240436,19611.769199999973
193,19611.769199999973,15840.477783999979,14491.399999999994,1497.1434556240436,19611.769199999973
194,19611.769199999973,15840.477783999979,14491.399999999994,1497.1434556240436,19611.769199999973
195,19611.769199999973,15943.733220666647,14667.775049999995,1453.307568330463,19611.769199999973
