generation,best,mean,min,std,best_of_run
1,20954.91999999996,11537.177457666647,8538.179999999991,3131.7275160977047,20954.91999999996
2,20954.91999999996,13428.039137999982,12193.252699999975,2309.108341350039,20954.91999999996
3,20954.91999999996,14334.726389333315,12843.894949999987,2195.3540813854925,20954.91999999996
4,20954.91999999996,15452.263575999985,12882.959999999988,1861.102249061013,20954.91999999996
5,20954.91999999996,15813.029222666648,13053.441999999988,1549.3781638107412,20954.91999999996
6,20954.91999999996,16006.719755999979,14743.95999999998,1362.6390462842846,20954.91999999996
7,20954.91999999996,17151.5932333333,15608.879999999985,1953.5860321964499,20954.91999999996
8,20954.91999999996,17867.8385666666,15958.799999999983,1974.9482398751968,20954.91999999996
9,20971.479999999967,18534.875899999934,15961.781999999985,2060.1148676493976,20971.479999999967
10,20972.539999999968,19982.148173333262,18193.199999999764,1114.031618728393,20972.539999999968
11,20986.679999999975,20650.399233333297,19272.72709999998,620.1534161234314,20986.679999999975
12,20986.679999999975,20962.555999999964,20943.739999999958,14.224690646905092,20986.679999999975
13,20986.679999999975,20963.929333333297,20943.879999999954,13.306583566879766,20986.679999999975
14,20986.679999999975,20963.929333333297,20943.879999999954,13.306583566879766,20986.679999999975
15,20986.679999999975,20967.547999999962,20948.919999999962,11.29908739678079,20986.679999999975
16,20986.679999999975,20972.451999999972,20954.91999999996,6.667060521703345,20986.679999999975
17,20986.679999999975,20972.451999999972,20954.91999999996,6.667060521703345,20986.679999999975
18,20986.679999999975,20975.162666666638,20971.39999999997,4.243167789389525,20986.679999999975
19,20986.679999999975,20975.935999999972,20971.99999999996,3.87440283570978,20986.679999999975
20,20986.679999999975,20976.9453333333,20972.93999999996,4.110814788119706,20986.679999999975
21,20986.679999999975,20977.347999999973,20972.959999999966,3.9928856732938303,20986.679999999975
22,20998.03999999997,20979.590666666634,20974.559999999976,5.998172462416063,20998.03999999997
23,20998.03999999997,20979.93599999997,20974.579999999973,5.845778875964109,20998.03999999997
24,20998.03999999997,20981.79466666664,20975.95999999996,6.059352954089545,20998.03999999997
25,20998.03999999997,20981.79466666664,20975.95999999996,6.059352954089545,20998.03999999997
26,20998.03999999997,20981.79466666664,20975.95999999996,6.059352954089545,20998.03999999997
27,20998.03999999997,20983.48399999997,20977.23999999997,6.556540551237151,20998.03999999997
28,20998.03999999997,20983.77866666664,20977.459999999963,6.365848324371503,20998.03999999997
29,20998.03999999997,20984.614666666635,20977.679999999964,6.3042650818490324,20998.03999999997
30,20998.03999999997,20985.529333333307,20979.459999999974,6.077718285304954,20998.03999999997
31,20998.03999999997,20986.865333333302,20979.739999999976,5.688123142905922,20998.03999999997
32,20998.03999999997,20986.865333333302,20979.739999999976,5.688123142905922,20998.03999999997
33,21005.359999999964,20989.987999999965,20981.659999999978,6.992787903737381,21005.359999999964
34,21005.359999999964,20990.558666666628,20981.75999999997,6.629728869938065,21005.359999999964
35,21006.479999999967,20993.425333333304,20984.319999999956,6.215028953183404,21006.479999999967
36,21006.479999999967,20993.425333333304,20984.319999999956,6.215028953183404,21006.479999999967
37,21006.479999999967,20993.425333333304,20984.319999999956,6.215028953183404,21006.479999999967
38,21006.479999999967,20993.661333333304,20986.679999999975,5.925252024645571,21006.479999999967
39,21006.479999999967,20993.8973333333,20987.85999999996,5.709042496097361,21006.479999999967
40,21006.479999999967,20994.646666666627,20989.67999999996,5.318855348873682,21006.479999999967
41,21006.479999999967,20995.307999999968,20990.219999999965,4.975485503948316,21006.479999999967
42,21006.479999999967,20995.4293333333,20990.21999999997,4.871023802947889,21006.479999999967
43,21006.479999999967,20995.4293333333,20990.21999999997,4.871023802947889,21006.479999999967
44,21006.479999999967,20995.806666666635,20990.619999999977,4.667856991049035,21006.479999999967
45,21006.479999999967,20995.957333333303,20991.37999999997,4.532524633751025,21006.479999999967
46,21006.479999999967,20995.957333333303,20991.37999999997,4.532524633751025,21006.479999999967
47,21006.479999999967,20998.039999999968,20992.479999999967,4.840589495782472,21006.479999999967
48,21006.479999999967,20998.039999999968,20992.479999999967,4.840589495782472,21006.479999999967
49,21006.479999999967,20998.039999999968,20992.479999999967,4.840589495782472,21006.479999999967
50,21006.479999999967,20998.4853333333,20992.879999999965,4.61039096920225,21006.479999999967
51,21006.479999999967,20998.501333333305,20993.119999999966,4.591287207552337,21006.479999999967
52,21006.479999999967,20999.090666666634,20993.339999999956,4.427133710302555,21006.479999999967
53,21006.479999999967,20999.6893333333,20994.999999999964,3.93845903311819,21006.479999999967
54,21006.479999999967,20999.6893333333,20994.999999999964,3.93845903311819,21006.479999999967
55,21006.479999999967,20999.6893333333,20994.999999999964,3.93845903311819,21006.479999999967
56,21006.479999999967,21000.41999999997,20995.85999999997,4.016592253804584,21006.479999999967
57,21006.479999999967,21000.41999999997,20995.85999999997,4.016592253804584,21006.479999999967
58,21006.479999999967,21000.41999999997,20995.85999999997,4.016592253804584,21006.479999999967
59,21006.479999999967,21000.41999999997,20995.85999999997,4.016592253804584,21006.479999999967
60,21006.479999999967,21000.41999999997,20995.85999999997,4.016592253804584,21006.479999999967
61,21006.479999999967,21000.41999999997,20995.85999999997,4.016592253804584,21006.479999999967
62,21006.479999999967,21000.918666666632,20995.879999999972,3.8815630299592843,21006.479999999967
63,21006.479999999967,21000.918666666632,20995.879999999972,3.8815630299592843,21006.479999999967
64,21006.479999999967,21001.554666666638,20995.899999999972,3.784216108462855,21006.479999999967
65,21006.479999999967,21001.554666666638,20995.899999999972,3.784216108462855,21006.479999999967
66,21006.479999999967,21001.942666666633,20996.059999999972,3.469853919435206,21006.479999999967
67,21006.479999999967,21002.963999999967,20998.03999999997,2.7562118931599615,21006.479999999967
68,21008.319999999978,21003.649333333302,20999.15999999997,2.7245341293933247,21008.319999999978
69,21008.319999999978,21003.649333333302,20999.15999999997,2.7245341293933247,21008.319999999978
70,21008.319999999978,21003.950666666635,20999.659999999963,2.447190134739159,21008.319999999978
71,21008.319999999978,21004.767999999967,21001.719999999965,1.8425894822262476,21008.319999999978
72,21008.319999999978,21005.2973333333,21002.319999999963,1.454315264616265,21008.319999999978
73,21008.319999999978,21005.551999999967,21003.659999999967,1.1295733707936517,21008.319999999978
74,21008.33999999997,21006.099999999966,21004.779999999966,1.0187574130630985,21008.33999999997
75,21008.33999999997,21006.3133333333,21005.359999999964,0.8900237200361671,21008.33999999997
76,21009.099999999973,21006.959999999974,21005.839999999967,1.0189667969754417,21009.099999999973
77,21009.099999999973,21006.959999999974,21005.839999999967,1.0189667969754417,21009.099999999973
78,21009.099999999973,21006.959999999974,21005.839999999967,1.0189667969754417,21009.099999999973
79,21009.099999999973,21007.125333333304,21005.959999999966,1.006577479495448,21009.099999999973
80,21009.359999999964,21007.52266666664,21006.199999999964,0.9801460208688775,21009.359999999964
81,21009.359999999964,21007.59866666664,21006.479999999967,0.9167905370862216,21009.359999999964
82,21009.359999999964,21007.965333333304,21006.539999999968,0.9463886915831387,21009.359999999964
83,21009.359999999964,21007.965333333304,21006.539999999968,0.9463886915831387,21009.359999999964
84,21009.359999999964,21008.091999999968,21006.65999999997,0.8713147154352507,21009.359999999964
85,21009.359999999964,21008.147999999972,21006.959999999963,0.7899299547008125,21009.359999999964
86,21009.359999999964,21008.21866666664,21007.079999999976,0.7252573489605781,21009.359999999964
87,21009.359999999964,21008.254666666635,21007.23999999997,0.6798221989777136,21009.359999999964
88,21009.359999999964,21008.394666666634,21007.339999999967,0.672645192917752,21009.359999999964
89,21009.359999999968,21008.643999999967,21007.619999999963,0.6270863842658613,21009.359999999968
90,21009.359999999968,21008.741333333306,21007.859999999964,0.5714293968225863,21009.359999999968
91,21009.359999999968,21008.741333333306,21007.859999999964,0.5714293968225863,21009.359999999968
92,21009.359999999968,21008.741333333306,21007.859999999964,0.5714293968225863,21009.359999999968
93,21009.359999999968,21008.959999999963,21008.199999999975,0.4251431131557806,21009.359999999968
94,21010.859999999975,21009.206666666632,21008.33999999997,0.5526501806955034,21010.859999999975
95,21010.859999999975,21009.206666666632,21008.33999999997,0.5526501806955034,21010.859999999975
96,21012.47999999997,21009.5253333333,21008.619999999963,0.9110423822331153,21012.47999999997
97,21012.47999999997,21009.58666666663,21009.07999999997,0.8784127098869813,21012.47999999997
98,21012.47999999997,21009.58666666663,21009.07999999997,0.8784127098869813,21012.47999999997
99,21012.47999999997,21009.5893333333,21009.079999999973,0.8769299984743782,21012.47999999997
100,21012.47999999997,21009.681333333305,21009.099999999973,0.8909460639636012,21012.47999999997
101,21012.47999999997,21009.76799999997,21009.11999999997,0.8934069621424953,21012.47999999997
102,21012.47999999997,21009.76799999997,21009.11999999997,0.8934069621424953,21012.47999999997
103,21012.47999999997,21009.77999999997,21009.119999999974,0.8857990742855574,21012.47999999997
104,21012.47999999997,21009.77999999997,21009.119999999974,0.8857990742855574,21012.47999999997
105,21012.47999999997,21009.957333333306,21009.159999999963,0.995399194073191,21012.47999999997
106,21012.47999999997,21009.99599999997,21009.299999999963,0.9747259443925718,21012.47999999997
107,21012.519999999982,21010.3133333333,21009.319999999963,1.1211581313817216,21012.519999999982
108,21012.519999999982,21010.51866666664,21009.339999999964,1.0617587087287486,21012.519999999982
109,21012.519999999982,21010.83066666664,21009.359999999968,1.0554712480962642,21012.519999999982
110,21012.519999999982,21011.265333333307,21010.03999999998,0.8220775848747853,21012.519999999982
111,21012.519999999982,21011.32266666664,21010.39999999998,0.7624475209621325,21012.519999999982
112,21012.519999999982,21011.33866666664,21010.459999999977,0.745241497025638,21012.519999999982
113,21012.519999999982,21011.471999999972,21010.819999999978,0.728424784495259,21012.519999999982
114,21012.519999999982,21011.491999999973,21010.83999999997,0.7142287215365258,21012.519999999982
115,21012.519999999982,21011.679999999975,21010.859999999975,0.7060878132366158,21012.519999999982
116,21012.519999999982,21011.679999999975,21010.859999999975,0.7060878132366158,21012.519999999982
117,21012.519999999982,21011.679999999975,21010.859999999975,0.7060878132366158,21012.519999999982
118,21012.519999999982,21011.85333333331,21010.89999999997,0.6519168317799628,21012.519999999982
119,21012.519999999982,21011.85333333331,21010.89999999997,0.6519168317799628,21012.519999999982
120,21012.519999999982,21012.00666666664,21010.89999999998,0.5529396189668896,21012.519999999982
121,21012.519999999982,21012.287999999975,21011.659999999985,0.28934869390846446,21012.519999999982
122,21012.519999999982,21012.475999999973,21012.419999999976,0.024440403707837892,21012.519999999982
123,21012.519999999982,21012.48799999998,21012.47999999997,0.014236104338192423,21012.519999999982
124,21012.519999999982,21012.498666666645,21012.479999999974,0.018571184369792656,21012.519999999982
125,21012.519999999982,21012.51999999997,21012.51999999997,7.57305678950118e-12,21012.519999999982
126,21012.519999999982,21012.51999999998,21012.519999999975,3.5146214325479228e-12,21012.519999999982
127,21012.519999999982,21012.51999999998,21012.51999999998,3.5146214325479228e-12,21012.519999999982
128,21012.519999999982,21012.51999999998,21012.519999999982,3.637978807091713e-12,21012.519999999982
129,21012.519999999982,21012.51999999998,21012.519999999982,3.637978807091713e-12,21012.519999999982
130,21012.519999999982,21012.51999999998,21012.519999999982,3.637978807091713e-12,21012.519999999982
131,21012.519999999982,21012.51999999998,21012.519999999982,3.637978807091713e-12,21012.519999999982
132,21012.519999999982,21012.51999999998,21012.519999999982,3.637978807091713e-12,21012.519999999982
133,21012.519999999982,21012.51999999998,21012.519999999982,3.637978807091713e-12,21012.519999999982
134,21012.519999999982,21012.51999999998,21012.519999999982,3.637978807091713e-12,21012.519999999982
135,21012.519999999982,21012.51999999998,21012.519999999982,3.637978807091713e-12,21012.519999999982
136,21012.519999999982,21012.51999999998,21012.519999999982,3.637978807091713e-12,21012.519999999982
137,21012.519999999982,21012.51999999998,21012.519999999982,3.637978807091713e-12,21012.519999999982
138,21012.519999999982,21012.51999999998,21012.519999999982,3.637978807091713e-12,21012.519999999982
