generation,best,mean,min,std,best_of_run
1,2023.6996850000207,-283.5150595380005,-751.0388899999961,631.8157371853389,2023.6996850000207
2,2023.6996850000207,26.618679103997746,-512.853350000004,672.8696005286382,2023.6996850000207
3,2023.6996850000207,272.33206285399757,-308.4600000000031,722.4921485812482,2023.6996850000207
4,2023.6996850000207,460.23828975399755,-293.4600000000027,719.2994230009604,2023.6996850000207
5,2051.8400000000215,695.6079488739994,-274.9975200000022,781.9480175668231,2051.8400000000215
6,2051.8400000000215,884.2321841099998,-3.3767289999997576,727.126462811843,2051.8400000000215
7,2051.8400000000215,1052.6169262400012,374.12367999998537,718.9168105811274,2051.8400000000215
8,2051.8400000000215,1167.4594023400039,381.89998499998615,715.0493209415237,2051.8400000000215
9,2075.705040000022,1257.2947169400056,385.41202499998576,705.6553538828432,2075.705040000022
10,2075.705040000022,1453.70163592001,387.2409999999864,623.6529690434603,2075.705040000022
11,2075.705040000022,1548.185929370012,388.24099999998595,553.6797279327599,2075.705040000022
12,2075.705040000022,1574.1427394100128,388.24099999998595,528.5436066511795,2075.705040000022
13,2075.705040000022,1659.384055010015,400.83999999998673,437.95322594741396,2075.705040000022
14,2075.705040000022,1811.748598590018,1498.2001650000147,120.67365491275268,2075.705040000022
15,2075.705040000022,1823.9714508900174,1637.8931875000158,107.44973727888477,2075.705040000022
16,2075.705040000022,1834.407557100018,1686.7400000000166,100.13768441787299,2075.705040000022
17,2075.705040000022,1842.718465520018,1693.6400000000165,95.65662337939169,2075.705040000022
18,2075.705040000022,1849.210503130018,1697.3681400000175,90.83004130452693,2075.705040000022
19,2075.705040000022,1860.7807392700179,1700.7400000000166,82.99605157170215,2075.705040000022
20,2075.705040000022,1864.220739270018,1700.9043225000164,79.79417704516437,2075.705040000022
21,2075.705040000022,1877.3681312200179,1733.0400000000172,65.88959070261633,2075.705040000022
22,2075.705040000022,1883.311697520018,1761.7400000000166,60.245154673622345,2075.705040000022
23,2075.705040000022,1895.0593260200183,1786.2121550000174,54.332905787891924,2075.705040000022
24,2075.705040000022,1898.1958829200184,1837.6400000000172,51.419873890348605,2075.705040000022
25,2075.705040000022,1902.0681917000184,1870.0400000000175,49.97355532832583,2075.705040000022
26,2075.705040000022,1902.0681917000184,1870.0400000000175,49.97355532832583,2075.705040000022
27,2075.705040000022,1902.805220000018,1872.4400000000176,49.74166314214626,2075.705040000022
28,2075.705040000022,1902.811220000018,1872.4400000000176,49.73801798932836,2075.705040000022
29,2075.705040000022,1903.4632200000178,1872.4400000000176,49.548929944316164,2075.705040000022
30,2075.705040000022,1904.8137648000181,1872.4400000000176,49.605186758138366,2075.705040000022
