difficulty,runs,win_rate,death_rate,timeout_rate,mean_fitness,std_fitness,mean_distance,mean_kills,total_kills,total_wins,total_deaths,total_timeouts
0,30,0.1,0.0,0.9,3371.247074798813,3237.2361122446755,1066.3234353333332,1.5,45,3,0,27
3,30,0.0,0.0,1.0,1263.9402917893892,1333.545204934092,457.6096716666667,2.2666666666666666,68,0,0,30
5,30,0.0,0.0,1.0,1330.5075215061877,1569.954527995677,460.37924933333335,2.5,75,0,0,30
10,30,0.0,0.0,1.0,867.8213286157257,1004.890930534167,339.96297966666674,3.466666666666667,104,0,0,30
