difficulty,runs,win_rate,death_rate,timeout_rate,mean_fitness,std_fitness,mean_distance,mean_kills,total_kills,total_wins,total_deaths,total_timeouts
0,30,0.1,0.0,0.9,2993.304965733537,2010.2828782758124,960.3924256666666,1.2,36,3,0,27
3,30,0.0,0.0,1.0,1284.8957795535503,595.6152911098624,382.2599083333334,3.7333333333333334,112,0,0,30
5,30,0.0,0.0,1.0,1382.4067219892577,663.3499275146763,416.67590266666673,2.7666666666666666,83,0,0,30
10,30,0.0,0.0,1.0,1103.723743227053,520.5695044149144,321.8564883333334,3.6666666666666665,110,0,0,30
