difficulty,runs,win_rate,death_rate,timeout_rate,mean_fitness,std_fitness,mean_distance,mean_kills,total_kills,total_wins,total_deaths,total_timeouts
0,30,0.0,0.0,1.0,743.0938290974956,661.6101589973892,373.3516916666667,0.43333333333333335,13,0,0,30
3,30,0.0,0.0,1.0,684.9250222931321,459.4679799207728,314.51291100000003,2.6333333333333333,79,0,0,30
5,30,0.0,0.0,1.0,556.175615919434,390.0048850563256,253.89364933333334,1.7,51,0,0,30
10,30,0.0,0.0,1.0,571.0069806723654,299.0854526551261,269.4967743333334,3.6666666666666665,110,0,0,30
