difficulty,runs,win_rate,death_rate,timeout_rate,mean_fitness,std_fitness,mean_distance,mean_kills,total_kills,total_wins,total_deaths,total_timeouts
0,30,0.16666666666666666,0.0,0.8333333333333334,1982.005631608075,1552.7012248017334,1146.5228166666666,1.9,57,5,0,25
1,30,0.06666666666666667,0.0,0.9333333333333333,1251.8749411962888,1253.3675842294545,769.9262150000001,1.6666666666666667,50,2,0,28
2,30,0.0,0.0,1.0,574.7907466676395,345.7473246428846,434.5407623333334,1.1333333333333333,34,0,0,30
3,30,0.0,0.0,1.0,668.5153795651023,458.24242392073165,469.94312533333334,3.2666666666666666,98,0,0,30
