difficulty,runs,win_rate,death_rate,timeout_rate,mean_fitness,std_fitness,mean_distance,mean_kills,total_kills,total_wins,total_deaths,total_timeouts
0,30,0.26666666666666666,0.0,0.7333333333333333,4847.213925389975,3334.7666390360346,1358.120338,2.2666666666666666,68,8,0,22
1,30,0.1,0.0,0.9,2844.603396703776,2982.8500753026265,817.9695296666665,1.8666666666666667,56,3,0,27
2,30,0.03333333333333333,0.0,0.9666666666666667,2506.470451539225,2182.2300093327085,687.3532576666664,2.2,66,1,0,29
3,30,0.0,0.0,1.0,2472.278379693034,1804.6684395377217,670.7389286666664,3.5,105,0,0,30
