difficulty,runs,win_rate,death_rate,timeout_rate,mean_fitness,std_fitness,mean_distance,mean_kills,total_kills,total_wins,total_deaths,total_timeouts
0,30,0.23333333333333334,0.0,0.7666666666666667,4510.07851108138,3174.578381842164,1162.9661286666667,1.5,45,7,0,23
1,30,0.06666666666666667,0.0,0.9333333333333333,3215.6852274694006,2744.0003675876983,867.806606,1.8666666666666667,56,2,0,28
2,30,0.06666666666666667,0.0,0.9333333333333333,2641.570615965169,2285.3444736194615,680.1904866666666,2.0,60,2,0,28
3,30,0.0,0.0,1.0,2505.6434032703455,1576.9790793361146,662.6172960000001,3.7333333333333334,112,0,0,30
