difficulty,runs,win_rate,death_rate,timeout_rate,mean_fitness,std_fitness,mean_distance,mean_kills,total_kills,total_wins,total_deaths,total_timeouts
0,30,0.03333333333333333,0.0,0.9666666666666667,1483.3916107094726,1162.6382442261495,757.8975756666665,0.0,0,1,0,29
3,30,0.0,0.0,1.0,871.4812657874348,451.6758391879446,451.80088033333334,0.0,0,0,0,30
5,30,0.0,0.0,1.0,819.1178991044923,634.3115633532115,425.63895033333336,0.0,0,0,0,30
10,30,0.0,0.0,1.0,690.0220750327147,374.54534483773045,362.7964243333334,0.0,0,0,0,30
