difficulty,runs,win_rate,death_rate,timeout_rate,mean_fitness,std_fitness,mean_distance,mean_kills,total_kills,total_wins,total_deaths,total_timeouts
0,30,0.0,0.0,1.0,845.607107608722,725.4774007979966,383.49721800000003,0.26666666666666666,8,0,0,30
3,30,0.0,0.0,1.0,687.0030855965143,427.61859514512645,290.0195583333334,1.4,42,0,0,30
5,30,0.0,0.0,1.0,718.2549907272138,359.7999831119008,304.502868,1.4333333333333333,43,0,0,30
10,30,0.0,0.0,1.0,712.8152676274414,471.4213664839968,304.2017936666667,1.3333333333333333,40,0,0,30
