difficulty,runs,win_rate,death_rate,timeout_rate,mean_fitness,std_fitness,mean_distance,mean_kills,total_kills,total_wins,total_deaths,total_timeouts
0,30,0.0,0.0,1.0,1270.3986279373423,959.0510725963017,553.2403489999999,0.6333333333333333,19,0,0,30
3,30,0.0,0.0,1.0,787.2220003743497,478.0292837030784,338.3474666666667,2.3666666666666667,71,0,0,30
5,30,0.0,0.0,1.0,753.7169113274753,475.368966568879,324.32503233333335,5.1,153,0,0,30
10,30,0.0,0.0,1.0,623.4097238170581,251.10805083506546,263.9000163333333,4.1,123,0,0,30
