difficulty,runs,win_rate,death_rate,timeout_rate,mean_fitness,std_fitness,mean_distance,mean_kills,total_kills,total_wins,total_deaths,total_timeouts
0,30,0.06666666666666667,0.0,0.9333333333333333,1686.5940164820931,1373.1841743044101,709.1026973333334,1.0333333333333334,31,2,0,28
3,30,0.0,0.0,1.0,927.7303682080872,618.0186796761149,391.54232133333335,1.5,45,0,0,30
5,30,0.0,0.0,1.0,960.4544240878907,736.9650322807789,405.99507100000005,2.5,75,0,0,30
10,30,0.0,0.0,1.0,780.0964556376947,345.82014251314774,329.9537463333334,2.2333333333333334,67,0,0,30
