difficulty,runs,win_rate,death_rate,timeout_rate,mean_fitness,std_fitness,mean_distance,mean_kills,total_kills,total_wins,total_deaths,total_timeouts
0,30,0.0,0.0,1.0,1447.5204286679584,841.1758908689133,603.6200526666665,0.5333333333333333,16,0,0,30
3,30,0.0,0.0,1.0,860.0323803321952,477.88668434268595,360.661378,2.7,81,0,0,30
5,30,0.0,0.0,1.0,733.7530090270183,360.9641389492222,313.37239366666665,0.8333333333333334,25,0,0,30
10,30,0.0,0.0,1.0,655.2457855364585,230.6059591505798,278.49685700000003,1.9,57,0,0,30
